user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What are the General Weighted Average ranges for graduating with Latin honors?,"['26 | S T U D E N T M A N U A L 20. ACADEMIC SCHOLARSHIP 20.a. University Scholar A university scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.50. 20.b. College Scholar A college scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.75. 21. GRADUATION WITH HONORS Qualifications: A student who has completed his/her course within the prescribed period shall be qualified to graduate with honors as specified below. A candidate with honors shall have the following qualifications: 21.a. He/she shall have obtained any of the following General Weighted Average; 1.000 to 1.250 -Summa Cum Laude 1.251 to 1.500 -Magna Cum Laude 1.501 to 1.750 -Cum Laude 21.b. He/she has not been charged and found guilty of any of the major offenses governed by the existing university rules and regulations; 21.c. He/she has not incurred a grade below 2.50 in any of his/her enrolled academic or non-academic subjects, prescribed or not prescribed, which are taken within or outside the University;']","The General Weighted Average (GWA) ranges for graduating with Latin honors at Isabela State University are:

- **Summa Cum Laude**: 1.000 to 1.250
- **Magna Cum Laude**: 1.251 to 1.500
- **Cum Laude**: 1.501 to 1.750

Do you want more details on the requirements for these honors?","Summa Cum Laude is 1.000 to 1.250, Magna Cum Laude is 1.251 to 1.500, and Cum Laude is 1.501 to 1.750; the student must not have incurred a grade below 2.50 in any subject.",1.0,0.5965066267742926,1.0,0.9999999999
What are the retention policies based on the number of failed units in a semester?,"['17 | S T U D E N T M A N U A L 2. A quota system based on ranking of all applicants shall be implemented depending on the number of sections to be offered for first year. 3. 20% of the qualified first year students per program belongs to the disadvantage applicants (low income, student with disabilities and ethnic/minority groups). 4. At least 75% of the admitted students fall under the bottom 20% of household groups will graduate on time. B. Retention Policies 1. The following guidelines will be followed: • Warning – students who failed in 25% of the total number of units enrolled during the semester. * • Probation - students who failed in 50% of the total number of units enrolled during the semester. * • Dismissed – students who failed in 75% but less than 100% of the total number of academic units enrolled during the semester will be dismissed from the program but may apply to enroll in another program. * • Permanent Disqualification – students who failed in 100% of the academic units enrolled during the semester will no longer be allowed to enroll in any program offered in all campuses of the university. *Students under any status will be advised to undergo mentoring and may enroll in optional course audit/ remedial classes in order for them to have better chances to pass the subject. Note: Other requirements/ criteria prescribed by the PSG/CMO of the program and the concerned college may be applied.', '– students who failed in 100% of the academic units enrolled during the semester will no longer be allowed to enroll in any program offered in all campuses of the university. *Students under any status will be advised to undergo mentoring and may enroll in optional course audit/ remedial classes in order for them to have better chances to pass the subject. Note: Other requirements/ criteria prescribed by the PSG/CMO of the program and the concerned college may be applied. [Table] |2. A quota system based on ranking of all applicants shall be implemented depending on the number of sections to be offered for first year.|Col2|Col3| |---|---|---| |3. 20% of the qualified first year students per program belongs to the|3. 20% of the qualified first year students per program belongs to the|<br>| |disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and| |ethnic/minority groups).|ethnic/minority groups).|ethnic/minority groups).| |||| |4. At least 75% of the admitted students fall under the bottom 20% of|4. At least 75% of the admitted students fall under the bottom 20% of|| |household groups will graduate on time.|household groups will graduate on time.|household groups will graduate on time.|']","Retention policies at ISU depend on the percentage of failed units during a semester:

- **Warning**: If you fail 25% of your enrolled units.
- **Probation**: If you fail 50% of your enrolled units.
- **Dismissed**: If you fail between 75% and less than 100% of your enrolled units, you'll be dismissed from the program but can apply for another one.
- **Permanent Disqualification**: If you fail all (100%) of your enrolled units, you won't be allowed to enroll in any ISU programs.

Students under these statuses are advised to undergo mentoring and may take optional remedial classes.","A student is given a Warning for failing 25% of enrolled units, Probation for 50%, Dismissal for 75% but less than 100% (and may apply to another program), and Permanent Disqualification for failing 100% of units, which bars enrollment in any campus of the university.",1.0,0.6929012287425745,1.0,0.9999999999
How do I drop a subject and when must the dropping form be submitted?,"['14 | S T U D E N T M A N U A L 5. DROPPING/ ADDING/ CHANGING OF SUBJECT Dropping 5.a.1. Secure a dropping form from the Registrar’s Office; 5.a.2. Accomplish the dropping form to be signed by the subject Instructor/Professor and the Registration Adviser, noted by the Dean/Program Chair; and 5.a.3. Submit a copy of the form at the Registrar’s Office one week after the last day of enrollment in a term. Note: Any student who fails to attend classes shall be considered dropped. Subjects officially dropped within three (3) days after the start of classes will no longer be reflected in the TOR. Adding of Subjects 5.b.1. Secure adding form from the Registrar’s Office; 5.b.2. Accomplish adding form to be signed by the subject Instructor/Professor and the Registration Adviser, noted by the Dean/Program Chair and for approval by the Registrar; 5.b.3. Pay adding fee to the Cashier’s Office (as applicable); and 5.b.4. Submit approved adding form to the Registrar’s Office within 7 days after the first day of classes. 6. CROSS-ENROLLMENT Students may be allowed to cross enroll within the system and in other Higher Education Institutions (HEIs) following the procedures below: a. For students who will cross enroll within the system and to other Higher Education Institutions (HEIs): 6.a.1. Secure permit from the Registrar’s Office; and', '88 | S T U D E N T M A N U A L 2. Leave of Absence- permission not to enroll in the University for at least one semester but not to exceed one year, subject to appeal beyond one year. 3. Validation- the determination of the degree, subject and/or unit a transferee has taken in his/her previous school and assess if it can be carried and considered as completed units for the course enrolled in the University. 4. Dropping- the process of officially excluding a subject from the number of officially enrolled subjects for a given term, due to valid reason within the prescribed reglementary period. 5. Adding- the process of inclusion of a subject in addition to the number of subjects officially enrolled by a student in a given term, due to valid reasons, within the prescribed reglementary period. 6. Returnee Students- students considered for readmission depending on their previous scholastic performance, and the availability of slots/ and must have complied with all the requirements for readmission. 7. Cross-Enrollment- the process of earning an academic unit/subject within the system or in another HEI. 8. Fusing- the process of merging/ combining classes as deemed necessary.']","To drop a subject, you need to secure a dropping form from the Registrar’s Office, get it signed by your instructor and registration adviser, noted by the Dean or Program Chair, and then submit it within one week after the last day of enrollment.

Do you want more details on any other part of this process?","Secure a dropping form from the Registrar's Office, have it signed by the subject instructor and the registration adviser and noted by the Dean/Program Chair, and submit it to the Registrar's Office one week after the last day of enrollment. Subjects officially dropped within three days after the start of classes are no longer reflected in the TOR, and any student who fails to attend classes is considered dropped.",1.0,0.6497699908198696,1.0,0.99999999995
What are the rules for shifting to another program?,"['15 | S T U D E N T M A N U A L 6.a.2. Seek recommendation from the Program/ Department Chair, Dean and Registrar, and approval from the Executive Officer/Campus Administrator. b. For outside students who will cross enroll within the University: 6.b.1. Present to the OSAS the Permission to Cross Enroll form secured from their present school; 6.b.2. Submit to the Registrar the Permission to Cross Enroll form recognized by the OSAS; and 6.b.3. At the end of the semester the student will be issued a COG after completion of the subject. 7. CHANGING OR SHIFTING OF MAJOR FIELD OR PROGRAM A student who shifts or changes to another major field or program shall: 7.a.1. Have completed at least one semester in the program; 7.a.2. Secure, accomplish and submit duly approved shifting form to the Registrar’s Office; and 7.a.3. Be allowed to shift twice only subject to the policies of the admitting college/ department and the grade requirement of the program. 8. LOSS I.D. In case of lost I.D., the student shall immediately: 8.a.1. Report to the Security Guard; 8.a.2. Pay Declaration of Loss fee at the Cashier’s Office; 8.a.3. Accomplish Declaration of Loss from the OSAS; and 8.a.4. Present current registration and apply for new ID at the Campus Business Affairs Office.']","To shift to another program, you need to:

- Have completed at least one semester in your current program.
- Secure, accomplish, and submit a duly approved shifting form to the Registrar’s Office.
- Be aware that you can only shift twice, subject to college/department policies and grade requirements.

Do you want more details on any of these steps?","A student who shifts must have completed at least one semester in the current program, secure and submit a duly approved shifting form to the Registrar's Office, and may shift only twice, subject to the policies and grade requirements of the admitting college or department.",1.0,0.7299987126209609,1.0,0.9999999999
What are the requirements to be granted honorable dismissal?,"['29 | S T U D E N T M A N U A L 24.b. Suspension or expulsion due to major offenses shall not entitle the student to honorable dismissal. 24.c. Graduates shall secure credentials and Certificate of Honorable Dismissal upon presentation of clearances and receipts of payments at the Registrar’s Office. 25. MODES OF PAYMENT OF SCHOOL FEES The University strictly follows the provisions of RA 10931 for the modes of payment of school fees in accordance with Section 4, Section 6, and Section 7 of the Act. (Please refer to Appendix B, RA 10931 for the specific promulgation policies and guidelines governing Coverage, Exceptions to Free HE, and Benefits of the Act). Payment of school fees shall be made over the counter or online through the Land Bank of the Philippines. 25.a. Cash 25.b. Installment: The total assessed fees shall be paid on installment basis as prorated below: 35% - upon enrolment 35% - Prelims 20% - Mid-term 10% - Finals 26. REFUND OF SCHOOL FEES Students who are covered with the RA 10931 as per Section 4, do not qualify for the refund of school fees. The percentages of refund of fees, except registration fee are as follows: 100% - before the start of classes 75% - one week after the start of classes 50% - two weeks after the start of classes 25% - three weeks after the start of classes 100%- in case of death during the term']","To get an honorable dismissal, you need to secure credentials and a Certificate of Honorable Dismissal from the Registrar’s Office. You must present clearances and receipts of payments.

Do you want more details on what kind of clearances or payments these refer to?","Honorable dismissal, a voluntary withdrawal, is granted to students of good standing who are cleared of money and property accountabilities; suspension or expulsion due to major offenses does not entitle a student to honorable dismissal.",0.75,0.7928885373082385,0.5,0.9999999999
What are the academic gown or hood colors for Nursing and Engineering graduates?,"['28 | S T U D E N T M A N U A L 23. COMMENCEMENT EXERCISES, BACCALAUREATE SERVICES AND HABILIMENTS 23.a. All graduating students shall be required to attend the commencement exercises and baccalaureate mass or ecumenical service. 23.b. Graduating students shall wear their prescribed academic gowns, caps and the corresponding hood and tassel colors during the baccalaureate service and commencement exercises: Agriculture & other related programs - green Education - powder blue Business, Accountancy & Public Administration - golden yellow Engineering - maroon Arts & Sciences - dark blue Criminal Justice Education - red Information and Communication Technology - lilac Veterinary Medicine - gray Nursing - apricot Law - purple Fisheries - aqua blue Note: Candidates for non-degree programs are not required to wear hoods. 24. HONORABLE DISMISSAL 24.a. Honorable dismissal, which is a voluntary withdrawal from the University, shall be granted to students of good standing and who are cleared of money and property accountabilities. [Table] |Agriculture & other related<br>programs|- green| |---|---| |Education|- powder blue| |Business, Accountancy &<br>Public Administration|- goldenyellow| |Engineering|- maroon| |Arts & Sciences|- dark blue| |Criminal Justice Education|- red| |Information and Communication<br>Technology|- lilac| |Veterinary Medicine|- gray| |Nursing|- apricot| |Law|- purple| |Fisheries|- aqua blue|']","For Nursing graduates, the hood color is **apricot**, while Engineering graduates wear a **maroon** hood.

Do you need more details on any other graduation requirements?",Nursing graduates wear apricot and Engineering graduates wear maroon for the hood and tassel during the baccalaureate service and commencement exercises.,1.0,0.753192622399198,1.0,0.9999999999
How much is the cash incentive for the Entrance Scholarship?,"['34 | S T U D E N T M A N U A L 30. Cash Incentives for Merit Scholars and Student Leaders. Board Resolution No. 65, s. 2018 (Please refer to Appendix D, IMPLEMENTING RULES AND REGULATIONS OF THE CASH INCENTIVES FOR MERIT SCHOLARS AND LEADERS) MATRIX OF CASH INCENTIVES SCHOLARSHIP CASH INCENTIVES / SEMESTER Entrance Scholarship a. With highest honor (average grade of 98 to 100%) a. ₱ 3, 000. 00 Academic Scholarship a. University a. ₱ 3, 000. 00 b. College b. ₱ 2, 000. 00 Assistance to Athletes a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional Level) c. ₱ 1, 500. 00 (University Level) Publication Scholarship a. Editor-in-Chief (EIC) a. ₱ 3, 000. 00 b. Associate Editor-in-Chief b. ₱ 2, 000. 00 c. Section Editor, Layout Artist, c. ₱ 1, 500. 00 Cartoonist d. Official Writers d. ₱ 1, 000. 00 Socio-Cultural Scholarship a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional / Provincial Level) c. ₱ 1, 000. 00 (University Level) Campus SSC Officers a. Chairperson a. ₱ 2, 000. 00 b. Vice Chairperson b. ₱ 1, 500. 00 c. Secretary c. ₱ 1, 500. 00 d. Treasurer d. ₱ 1, 500. 00 e. Auditor e. ₱ 1, 500. 00', 'Layout Artist, c. ₱ 1, 500. 00 Cartoonist d. Official Writers d. ₱ 1, 000. 00 Socio-Cultural Scholarship a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional / Provincial Level) c. ₱ 1, 000. 00 (University Level) Campus SSC Officers a. Chairperson a. ₱ 2, 000. 00 b. Vice Chairperson b. ₱ 1, 500. 00 c. Secretary c. ₱ 1, 500. 00 d. Treasurer d. ₱ 1, 500. 00 e. Auditor e. ₱ 1, 500. 00 [Table] |MATRIX OF CASH INCENTIVES|Col2| |---|---| |**SCHOLARSHIP**|**CASH INCENTIVES / SEMESTER**| |**Entrance Scholarship**<br>a. With highest honor<br>(average grade of 98 to 100%)|a. ₱ 3, 000. 00| |**Academic Scholarship**<br>a. University<br>b. College|a. ₱ 3, 000. 00<br>b. ₱ 2, 000. 00| |**Assistance to Athletes**|a. ₱ 1, 500. 00 (National Level)<br>b. ₱ 1, 500. 00 (Regional Level)<br>c. ₱ 1, 500. 00 (University Level)| |**Publication Scholarship**<br>a. Editor-in-Chief (EIC)<br>b. Associate Editor-in-Chief<br>c. Section Editor, Layout Artist,<br>Cartoonist<br>d. Official Writers|a. ₱ 3, 000. 00<br>b. ₱ 2, 000. 00<br>c. ₱ 1, 500. 00<br>d. ₱ 1, 000. 00| |**Socio-Cultural Scholarship**|a. ₱ 1, 500. 00 (National Level)<br>b. ₱ 1, 500. 00 (Regional / Provincial Level)<br>c. ₱ 1, 000. 00 (University Level)| |**Campus SSC Officers**<br>a. Chairperson<br>b. Vice Chairperson<br>c. Secretary<br>d. Treasurer<br>e. Auditor|a. ₱ 2, 000. 00<br>b. ₱ 1, 500. 00<br>c. ₱ 1, 500. 00<br>d. ₱ 1, 500. 00<br>e. ₱ 1, 500. 00|']","The cash incentive for the Entrance Scholarship with the highest honor (average grade of 98 to 100%) is ₱3,000.00 per semester.

Do you need details on any other scholarships or incentives?","The Entrance Scholarship grants a cash incentive of Php 3,000.00 per semester to entering freshmen who graduated with highest honors (average grade of 98 to 100%).",1.0,0.7173497298989577,1.0,0.99999999995
What GWA is required to qualify for the University Scholarship?,"['26 | S T U D E N T M A N U A L 20. ACADEMIC SCHOLARSHIP 20.a. University Scholar A university scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.50. 20.b. College Scholar A college scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.75. 21. GRADUATION WITH HONORS Qualifications: A student who has completed his/her course within the prescribed period shall be qualified to graduate with honors as specified below. A candidate with honors shall have the following qualifications: 21.a. He/she shall have obtained any of the following General Weighted Average; 1.000 to 1.250 -Summa Cum Laude 1.251 to 1.500 -Magna Cum Laude 1.501 to 1.750 -Cum Laude 21.b. He/she has not been charged and found guilty of any of the major offenses governed by the existing university rules and regulations; 21.c. He/she has not incurred a grade below 2.50 in any of his/her enrolled academic or non-academic subjects, prescribed or not prescribed, which are taken within or outside the University;']","A GWA of at least **1.50** is needed to be a university scholar.

Do you need more details on other scholarship types too?",A student must obtain a GWA of at least 1.50 at the end of a regular term while carrying at least 15 academic units.,1.0,0.6873680794841689,1.0,0.9999999999
What is the difference between a University Scholar and a College Scholar?,"['26 | S T U D E N T M A N U A L 20. ACADEMIC SCHOLARSHIP 20.a. University Scholar A university scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.50. 20.b. College Scholar A college scholar is a student carrying at least 15 academic load required in his college who obtained a GWA of at least 1.75. 21. GRADUATION WITH HONORS Qualifications: A student who has completed his/her course within the prescribed period shall be qualified to graduate with honors as specified below. A candidate with honors shall have the following qualifications: 21.a. He/she shall have obtained any of the following General Weighted Average; 1.000 to 1.250 -Summa Cum Laude 1.251 to 1.500 -Magna Cum Laude 1.501 to 1.750 -Cum Laude 21.b. He/she has not been charged and found guilty of any of the major offenses governed by the existing university rules and regulations; 21.c. He/she has not incurred a grade below 2.50 in any of his/her enrolled academic or non-academic subjects, prescribed or not prescribed, which are taken within or outside the University;', '34 | S T U D E N T M A N U A L 30. Cash Incentives for Merit Scholars and Student Leaders. Board Resolution No. 65, s. 2018 (Please refer to Appendix D, IMPLEMENTING RULES AND REGULATIONS OF THE CASH INCENTIVES FOR MERIT SCHOLARS AND LEADERS) MATRIX OF CASH INCENTIVES SCHOLARSHIP CASH INCENTIVES / SEMESTER Entrance Scholarship a. With highest honor (average grade of 98 to 100%) a. ₱ 3, 000. 00 Academic Scholarship a. University a. ₱ 3, 000. 00 b. College b. ₱ 2, 000. 00 Assistance to Athletes a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional Level) c. ₱ 1, 500. 00 (University Level) Publication Scholarship a. Editor-in-Chief (EIC) a. ₱ 3, 000. 00 b. Associate Editor-in-Chief b. ₱ 2, 000. 00 c. Section Editor, Layout Artist, c. ₱ 1, 500. 00 Cartoonist d. Official Writers d. ₱ 1, 000. 00 Socio-Cultural Scholarship a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional / Provincial Level) c. ₱ 1, 000. 00 (University Level) Campus SSC Officers a. Chairperson a. ₱ 2, 000. 00 b. Vice Chairperson b. ₱ 1, 500. 00 c. Secretary c. ₱ 1, 500. 00 d. Treasurer d. ₱ 1, 500. 00 e. Auditor e. ₱ 1, 500. 00']","A University Scholar needs to have at least a GWA of 1.50 with a minimum academic load of 15 units, while a College Scholar requires a higher GWA of 1.75 for the same number of units.

Do you want to know more about the cash incentives associated with these scholarships?","A University Scholar obtains a GWA of at least 1.50 (with a cash incentive of Php 3,000.00 per semester), while a College Scholar obtains a GWA of at least 1.75 (with a cash incentive of Php 2,000.00 per semester); both must carry at least 15 academic units.",1.0,0.6414318024429169,1.0,0.99999999995
What are the cash incentives for Campus SSC officers?,"['Layout Artist, c. ₱ 1, 500. 00 Cartoonist d. Official Writers d. ₱ 1, 000. 00 Socio-Cultural Scholarship a. ₱ 1, 500. 00 (National Level) b. ₱ 1, 500. 00 (Regional / Provincial Level) c. ₱ 1, 000. 00 (University Level) Campus SSC Officers a. Chairperson a. ₱ 2, 000. 00 b. Vice Chairperson b. ₱ 1, 500. 00 c. Secretary c. ₱ 1, 500. 00 d. Treasurer d. ₱ 1, 500. 00 e. Auditor e. ₱ 1, 500. 00 [Table] |MATRIX OF CASH INCENTIVES|Col2| |---|---| |**SCHOLARSHIP**|**CASH INCENTIVES / SEMESTER**| |**Entrance Scholarship**<br>a. With highest honor<br>(average grade of 98 to 100%)|a. ₱ 3, 000. 00| |**Academic Scholarship**<br>a. University<br>b. College|a. ₱ 3, 000. 00<br>b. ₱ 2, 000. 00| |**Assistance to Athletes**|a. ₱ 1, 500. 00 (National Level)<br>b. ₱ 1, 500. 00 (Regional Level)<br>c. ₱ 1, 500. 00 (University Level)| |**Publication Scholarship**<br>a. Editor-in-Chief (EIC)<br>b. Associate Editor-in-Chief<br>c. Section Editor, Layout Artist,<br>Cartoonist<br>d. Official Writers|a. ₱ 3, 000. 00<br>b. ₱ 2, 000. 00<br>c. ₱ 1, 500. 00<br>d. ₱ 1, 000. 00| |**Socio-Cultural Scholarship**|a. ₱ 1, 500. 00 (National Level)<br>b. ₱ 1, 500. 00 (Regional / Provincial Level)<br>c. ₱ 1, 000. 00 (University Level)| |**Campus SSC Officers**<br>a. Chairperson<br>b. Vice Chairperson<br>c. Secretary<br>d. Treasurer<br>e. Auditor|a. ₱ 2, 000. 00<br>b. ₱ 1, 500. 00<br>c. ₱ 1, 500. 00<br>d. ₱ 1, 500. 00<br>e. ₱ 1, 500. 00|']","The cash incentives for Campus Student Services Council (SSC) Officers are as follows:

- **Chairperson**: ₱2,000.00
- **Vice Chairperson**: ₱1,500.00
- **Secretary**: ₱1,500.00
- **Treasurer**: ₱1,500.00
- **Auditor**: ₱1,500.00

Want to know more about any specific officer position?","The Chairperson receives Php 2,000.00 per semester, while the Vice Chairperson, Secretary, Treasurer, and Auditor each receive Php 1,500.00 per semester.",1.0,0.6727739108173929,1.0,0.9999999999
What are the cash incentives for regional placers in the board examination?,"['36 | S T U D E N T M A N U A L 6. Cash incentives for the regional placers of the board examination are as follows: PLACE CASH INCENTIVES 1-2 10,000.00 3-4 8,000.00 5-6 6,000.00 7-8 4,000.00 9-10 2,000.00 7. As supporting documents, the names of regional topnotchers should be properly certified by the PRC Regional Office since these are not normally published in newspaper of National/Regional circulation nor uploaded in the PRC website. 8. The college from where the topnotchers came from should facilitate the preparation and processing of vouchers and checks. 9. Topnotchers can collect only once for a specific program, the higher amount. 10. Topnotchers in any two or three examinations can still be covered by this resolution. 32. UTILIZATION OF STUDENT MUTUAL AID FUND Section1. General Coverage All bonafide students of the University shall be entitled to avail of the mutual aid benefits. Section 2. Contribution All students shall pay a contribution of P40.00 upon enrollment during the first semester of the school year. Whether or not the student is enrolled for the second semester or during summer, the amount paid covers the benefits for one school year. In case the student is enrolled only during the second semester, he/she shall pay P20.00 only.']","The cash incentives for regional placers in the board examination are:

- **1st to 2nd place**: ₱10,000.00
- **3rd to 4th place**: ₱8,000.00
- **5th to 6th place**: ₱6,000.00
- **7th to 8th place**: ₱4,000.00
- **9th to 10th place**: ₱2,000.00

Do you need more details on how these incentives are processed?","Regional placers receive cash incentives of Php 10,000.00 for places 1 to 2, Php 8,000.00 for places 3 to 4, Php 6,000.00 for places 5 to 6, Php 4,000.00 for places 7 to 8, and Php 2,000.00 for places 9 to 10; a topnotcher may collect only once per program (the higher amount).",1.0,0.8532123024051561,1.0,0.9999999999
What conditions does a scholar agree to in the Scholarship Contract?,"['( Name of Scholarship) School Year 20__ – 20__ by Isabela State University-Echague and consideration of the privilege granted by reason of such assistance hereby accepts the said educational assistance and binds myself to the following conditions: That I shall: 1. Maintain excellent moral character and integrity; 2. Strive to obtain and maintain a general weighted average of__________________ at the end of each semester. 3. Comply with all the rules and regulations promulgated by the Isabela State University, particularly on the following: 3.1 To enrol in the regular semester load prescribed in the approved curriculum for the course. 3.2 To have no failing, grades in all my enrolled subjects: 3.3 To submit my school records to the Office of Student Affairs & Services (OSAS) such as: 3.3.1 Photocopy of registration form. 3.3.2 Photocopy of I.D. back to back. 3.3.3 Original copy of certification of grades certified by the registrar. 3.4 Other pertinent documents required by the Scholarship Unit. a. Failure to submit these requirements shall cause the temporary suspension of my educational assistance b. To report to Scholarship sponsor in person as after as necessary and to submit papers as maybe requested. 4. That I accept any of the following to be sufficient cause for the termination of my educational assistance. a. Found to be non-bonafide member/ officer of SSC Officers/Athletics/Socio-Cultural/Forum/ROTC. b. Violated any rules and regulations prescribed under University Scholarships Assistance Program found in the University Handbook. c. Found to have tampered or falsified the required documents. d. Found to be physically and mentally unfit to continue my educational assistance. e. Incurred failing grades in the previous semester. f. Inability to complete/incomplete grades incurred during the previous semester within the prescribed period allowed by the University. g. Extension of the period of completion of the course beyond that which is prescribed in the approved curriculum of the school. h. Commission of any act of immortality, drunkenness, dishonesty, discourtesy or any form of misconduct in the violation of the norms and conduct prescribed under the University Student Manual. i. Deliberate or wilful to pay just and valid obligation with the', 'Republic of the Philippines ISABELA STATE UNIVERSITY Echague, Isabela OFFICE OF STUDENT AFFAIRS & SERVICES ISUE – OSS – ScC – 012 Effectivity: September 1, 2013 Revision: 0 SCHOLARSHIP CONTRACT Contact/CP# __________________ I, ____________, __________________________________________________________, ______________________ Student no. Name of Student Course, Year & Sec. ___________________________________________________________________________________________________ Complete Home Address Having been awarded the ____________________________________Scholarship program effective _________ Semester']","A scholar agrees to maintain excellent moral character and integrity, strive for good grades, follow university rules, submit required documents, and comply with other scholarship requirements.

Here are some specific conditions:
- Maintain a general weighted average as specified.
- Enroll in the regular semester load of their approved curriculum.
- Have no failing grades.
- Submit school records to OSAS including registration forms, ID copies, and grade certifications.
- Report to the scholarship sponsor when necessary and submit requested papers.

If any of these conditions are not met, it can lead to suspension or termination of educational assistance. Let me know if you need details on a specific condition!","A scholar agrees to maintain excellent moral character and integrity, maintain the required GWA with no failing grades, enroll the regular prescribed load, and submit school records (photocopy of registration form, ID, and the registrar-certified certification of grades) to the OSAS; failing these can suspend or terminate the assistance.",0.9090909090909091,0.5017909339494464,1.0,0.9999999999
How much is the tuition fee per unit at ISU?,"['30 | S T U D E N T M A N U A L 27. SCHOOL FEES 27.a.1. Tuition Fee Php 100.00 / unit Medical/Health Course, Major Subjects, RLE Variable Php 250.00 unit Law Php 400.00 / unit Developmental Programs Php 100.00 / unit Computer Laboratory Php 450.00/subject Technical Laboratory Php 100.00/subject 27.a.2. Other Fees Entrance (Freshmen/Transferees) Registration Php100.00 Php 50.00 Library Php100.00 Guidance Php 20.00 Medical/Dental Php 50.00 SBO/SSC/SSCF Php 60.00 Student Publication Php 50.00 Journal Php 50.00 Athletics Php 50.00 P.E. Php200.00 Socio-Cultural Php 25.00 NSTP-ROTC/CWTS Php150.00 F.A.L.P. (For C.A. Students Only) Php 20.00 Internet Php 40.00 ID Php100.00 Mutual Aid Php 40.00 Fine Php 50.00 Student Development First Year Php500.00 Second Year Php400.00 Third Year Php300.00 Fourth/Fifth/Sixth Year Php 200.00 27.a.3. Thesis Fee Php 500.00 (to be paid at the college on prorated payments to the numbers of the advisory committee)']","The tuition fee per unit at ISU is **Php 100.00** for Medical/Health Course, Major Subjects, and RLE.

Do you need details on other fees as well?",Tuition fee is Php 100.00 per unit; Law is Php 400.00 per unit and medical/health major subjects and RLE are a variable Php 250.00 per unit.,0.3333333333333333,0.6654287635928771,1.0,0.9999999999
What are the modes of payment of school fees?,"['29 | S T U D E N T M A N U A L 24.b. Suspension or expulsion due to major offenses shall not entitle the student to honorable dismissal. 24.c. Graduates shall secure credentials and Certificate of Honorable Dismissal upon presentation of clearances and receipts of payments at the Registrar’s Office. 25. MODES OF PAYMENT OF SCHOOL FEES The University strictly follows the provisions of RA 10931 for the modes of payment of school fees in accordance with Section 4, Section 6, and Section 7 of the Act. (Please refer to Appendix B, RA 10931 for the specific promulgation policies and guidelines governing Coverage, Exceptions to Free HE, and Benefits of the Act). Payment of school fees shall be made over the counter or online through the Land Bank of the Philippines. 25.a. Cash 25.b. Installment: The total assessed fees shall be paid on installment basis as prorated below: 35% - upon enrolment 35% - Prelims 20% - Mid-term 10% - Finals 26. REFUND OF SCHOOL FEES Students who are covered with the RA 10931 as per Section 4, do not qualify for the refund of school fees. The percentages of refund of fees, except registration fee are as follows: 100% - before the start of classes 75% - one week after the start of classes 50% - two weeks after the start of classes 25% - three weeks after the start of classes 100%- in case of death during the term']","The University allows you to pay your school fees either over the counter or online through the Land Bank of the Philippines. 

Do you need more details on how to make these payments?","School fees may be paid in cash or by installment (35% upon enrollment, 35% at prelims, 20% at midterm, and 10% at finals), over the counter or online through the Land Bank of the Philippines.",1.0,0.5189956218883227,1.0,0.9999999999
